game_id,player_id,pts,reb,hometeam_name,hometeam_id,hometeam_score,visitteam_name,visitteam_id,visitteam_score
474540,145,29,14,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,200,22,11,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,666923,2,1,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,3547270,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,260,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,250,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,3547272,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,666474,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,320,6,2,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,318,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,184,9,4,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,344,9,2,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,192,32,5,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,3547254,7,1,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,3547207,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,87,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,2148,0,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,223,0,1,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,211,1,0,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,105,2,1,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,8,10,4,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,377,3,5,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,214,18,8,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,301,5,3,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,283,17,3,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,15,40,14,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474540,315,22,9,Philadelphia 76ers,23,116,Milwaukee Bucks,17,118
474575,296,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,258,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,257,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,44,6,5,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,97,2,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,105,12,2,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,377,17,8,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,211,0,4,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,3547207,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,17896059,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,223,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,87,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,2148,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,8,8,2,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,214,20,2,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,301,2,1,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,283,14,3,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,15,28,10,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,315,11,4,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,370,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,347,0,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,3547258,3,1,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,130,11,0,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,73,15,3,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,132,32,8,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,379,22,13,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,158,11,1,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474575,75,16,7,Milwaukee Bucks,17,112,Dallas Mavericks,7,118
474591,17895983,9,6,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,89,0,3,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,68,0,1,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,247,6,2,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,444,4,7,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,666956,13,3,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,666604,7,3,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,666919,0,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,4197388,0,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,24102469,0,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,666517,0,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,60,2,2,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,460,7,6,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,3547248,18,6,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,125,40,3,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,223,0,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,3547207,2,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,87,0,1,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,17896059,3,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,105,2,4,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,211,5,2,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,377,13,9,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,2148,2,0,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,8,13,3,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,214,11,6,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,301,11,2,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,283,28,7,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,15,18,9,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474591,315,19,4,Chicago Bulls,5,106,Milwaukee Bucks,17,127
474608,301,7,1,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,439,22,5,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,15,29,11,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,315,22,8,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,214,29,8,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,283,15,7,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,3547306,0,0,Milwaukee Bucks,17,127,Boston Celtics,2,121
474608,17896017,0,0,Milwaukee Bucks,17,127,Boston Celtics,2,121
